"CPG_SCHEDULED_START_ON";"CPG_SCHEDULED_END_ON";"CPG_ACTUAL_START_ON";"CPG_ACTUAL_END_ON";"IT_ID";"IT_NUM";"IT_NAME";"IT_SCHEDULED_START_ON";"IT_SCHEDULED_END_ON";"IT_ACTUAL_START_ON";"IT_ACTUAL_END_ON";"TC_ID";"TC_NAME";"TC_PROJECT_ID";"TC_PROJECT";"TC_WEIGHT";"TEST_SUITE";"#_EXECUTIONS";"#_REQUIREMENTS";"#_ISSUES";"DATASET";"EXEC_STATUS";"EXEC_USER";"EXECUTION_DATE";"TC_REF";"TC_NATURE";"TC_TYPE";"TC_STATUS";"STEP_ID";"STEP_NUM";"STEP_#_REQ";"EXEC_STEP_STATUS";"EXEC_STEP_DATE";"EXEC_STEP_USER";"EXEC_STEP_#_ISSUES";"EXEC_STEP_COMMENT"
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"566";"Rok více než 2 dekadické èíslice";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:56";"TC.04.03.02.04";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"411";"2";"0";"SUCCESS";"2022/04/07 21:05:52";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"566";"Rok více než 2 dekadické èíslice";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:56";"TC.04.03.02.04";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"412";"3";"0";"SUCCESS";"2022/04/07 21:05:54";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"566";"Rok více než 2 dekadické èíslice";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:56";"TC.04.03.02.04";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"413";"4";"0";"SUCCESS";"2022/04/07 21:05:56";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"567";"Rok neèíselná hodnota";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:15";"TC.04.03.02.05";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"416";"1";"0";"SUCCESS";"2022/04/07 21:06:13";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"567";"Rok neèíselná hodnota";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:15";"TC.04.03.02.05";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"417";"2";"0";"SUCCESS";"2022/04/07 21:06:15";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"567";"Rok neèíselná hodnota";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:15";"TC.04.03.02.05";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"414";"3";"0";"SUCCESS";"2022/04/07 21:06:03";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"567";"Rok neèíselná hodnota";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:15";"TC.04.03.02.05";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"415";"4";"0";"SUCCESS";"2022/04/07 21:06:09";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"568";"Rok znaménko +";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:36";"TC.04.03.02.06";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"418";"1";"0";"SUCCESS";"2022/04/07 21:06:30";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"568";"Rok znaménko +";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:36";"TC.04.03.02.06";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"419";"2";"0";"SUCCESS";"2022/04/07 21:06:33";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"568";"Rok znaménko +";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:06:36";"TC.04.03.02.06";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"420";"3";"0";"SUCCESS";"2022/04/07 21:06:34";"admin";"0";""
